,,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45
j48,j47,53,48,47,48,46,28,26,28,43,46,49,34,29,36,29,38,24,28,32
j47,j46,48,47,47,48,43,40,38,39,44,42,47,41,41,41,36,40,29,30,42
j46,j45,58,58,58,57,60,58,57,58,56,56,58,53,58,54,58,56,52,52,58
j45,j43/44,63,61,59,60,64,62,63,65,61,64,63,60,63,59,65,64,57,62,68
j43/44,j42,65,64,62,62,64,64,65,66,61,64,65,64,65,66,58,63,50,60,66
j42,j41,63,59,59,60,65,64,65,66,65,66,66,64,64,65,58,59,35,60,65
j41,j40,67,60,62,58,66,64,66,65,67,64,67,63,64,66,61,57,53,63,66
j40,j39,61,62,62,66,66,59,67,59,68,60,65,62,63,66,58,41,61,62,62
j39,j38,64,66,64,63,64,59,66,62,68,68,65,65,67,69,65,64,65,66,64
j38,j37,64,66,63,68,67,66,63,64,67,69,63,68,63,67,69,60,64,63,65
j37,j36,61,62,64,66,63,65,63,63,61,64,70,64,63,63,69,65,64,67,64
j36,j35A,29,59,60,62,59,65,61,62,63,66,63,64,63,64,68,67,62,61,67
j35A,j35,43,50,49,49,49,49,50,48,55,51,51,49,49,50,52,49,50,48,52
j35,j34,49,46,46,47,44,46,47,49,53,48,47,48,48,48,48,39,38,30,21
j34,j33,47,49,50,50,48,51,49,52,52,49,49,50,50,48,30,17,14,19,13
j33,j32,53,51,51,50,51,52,52,53,51,53,52,52,51,51,46,42,45,42,41
j32,j31,55,49,54,49,51,49,49,51,50,50,53,49,54,50,46,49,48,41,39
j31,j30,51,48,51,47,48,49,43,51,48,50,51,49,54,49,49,49,50,55,50
j30,j29A,61,61,61,64,65,62,61,63,64,64,63,64,64,62,60,70,65,62,64
j29A,j29,62,64,62,63,64,66,64,62,64,60,61,66,65,65,63,68,61,59,63
j29,j28,61,64,62,63,64,60,64,66,64,58,63,64,62,65,67,64,56,61,60
j28,j27,64,66,66,63,62,65,61,66,61,65,61,68,62,60,68,62,58,65,69
j27,j26,66,67,68,66,66,64,66,64,64,65,65,69,69,63,66,64,64,67,70
j26,j25,65,67,66,66,70,64,67,64,63,59,65,67,69,61,67,62,66,65,65
j25,j24A,66,65,63,62,66,63,66,63,61,69,64,65,70,62,66,65,70,69,61
j24A,j24,66,61,66,61,64,60,66,63,61,67,63,63,70,56,64,62,67,65,59
j24,j23A,64,61,65,63,63,61,63,64,60,65,62,63,66,53,58,61,62,65,60
j23A,j23,62,62,66,63,64,58,65,67,67,67,62,64,69,61,55,66,65,61,59
j23,j22,61,67,60,62,63,64,63,66,68,63,57,62,65,68,58,62,60,61,66
j22,j21A,58,69,65,70,68,64,65,63,70,67,68,70,68,70,50,60,58,61,70
j21A,j21,43,61,61,67,58,65,69,41,59,60,59,67,63,66,60,57,52,66,61
j21,j20,67,64,62,66,62,70,64,64,69,63,57,64,70,70,66,68,65,60,68
j20,j19,66,60,62,69,63,66,59,61,70,68,64,62,68,69,62,70,66,60,68
j19,j18,60,57,65,65,62,63,57,65,62,60,62,64,59,63,64,63,62,64,70
j18,j17,60,58,61,60,63,60,60,62,60,62,61,68,58,62,60,62,62,63,70
j17,j16,61,60,65,61,66,60,65,66,64,66,63,65,62,64,63,63,64,61,70
j16,j15A,64,60,58,57,66,64,66,66,63,63,63,65,62,64,62,60,61,57,63
j15A,j15,63,59,60,62,61,65,62,61,63,63,60,59,64,62,60,64,59,59,61
j15,j14,63,63,64,65,61,60,62,62,65,62,61,50,67,66,64,67,64,37,63
j14,j13,63,57,58,60,60,58,61,47,62,60,59,50,60,59,57,45,21,42,41
j13,j12,50,51,53,52,53,50,48,47,52,48,31,45,53,50,52,49,47,45,26
j12,j11A,14,23,36,46,52,47,47,46,52,47,52,47,51,52,51,46,51,36,22
j11A,j11,24,24,33,39,48,47,47,46,49,47,51,59,44,51,51,36,50,45,37
j11,j10,45,44,46,46,48,48,48,60,48,48,52,61,47,50,49,42,51,55,56
j10,j9,58,61,56,60,60,62,63,55,63,59,60,45,60,61,62,57,59,52,58
j9,j8,59,57,56,60,60,63,62,63,61,61,59,45,60,62,59,53,53,50,52
j8,j7,53,55,60,50,51,54,50,69,49,45,51,55,45,51,46,44,42,57,61
j7,j6,63,58,51,51,47,61,59,65,58,50,60,69,57,55,35,18,26,61,70
j6,j5,70,65,69,70,69,68,69,70,70,69,70,70,70,68,49,62,49,39,69
j5,j4,67,65,68,66,64,67,68,70,70,68,67,69,67,70,62,67,59,60,69
j4,j3,65,64,69,63,66,70,63,70,67,70,67,70,63,69,68,63,70,62,70
j3,j2,64,70,70,70,68,66,66,70,65,68,70,70,60,70,65,57,58,62,70
j2,j1,49,59,61,59,61,64,59,60,59,62,60,59,64,61,53,57,58,53,62
