,,08:45:00,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,
j48,j47,64,58,57,52,53,53,53,55,55,50,54,53,55,56,56,59,55,57,57,
j47,j46,68,56,55,45,47,47,48,45,47,47,48,48,47,48,47,54,48,47,48,
j46,j45,70,57,53,50,49,49,37,33,30,29,27,28,29,30,27,29,27,29,30,
j45,j43/44,66,68,64,62,59,59,51,42,31,19,13,12,13,18,22,13,14,18,35,
j43/44,j43,62,69,62,64,62,62,62,64,61,57,56,60,56,59,62,57,64,59,68,
j42,j42,62,63,63,63,64,64,63,63,63,63,69,68,66,60,63,66,67,69,68,
j42,j41,56,66,65,63,67,67,65,64,60,64,67,66,69,65,63,62,38,68,65,
j41,j40,60,63,65,65,69,69,67,63,62,66,66,65,64,66,64,65,60,68,67,
j40,j39,59,69,66,67,70,70,67,64,66,67,68,68,70,68,65,69,70,70,70,
j39,j38,52,66,63,64,70,70,69,64,66,65,69,67,69,65,63,70,70,70,69,
j38,j37,53,61,66,63,68,68,65,66,67,65,68,69,68,68,62,69,69,69,70,
j37,j36,53,58,59,66,68,68,66,64,68,67,64,65,68,64,63,65,70,70,68,
j36,j35A,50,53,56,58,61,61,61,56,60,61,57,59,60,59,58,60,63,64,63,
j35A,j35A,65,47,48,48,48,48,48,47,47,46,47,48,48,47,47,46,48,48,48,
j35,j34,68,48,49,48,49,48,49,47,48,48,49,48,49,48,49,48,48,48,49,
j34,j33,65,49,50,50,51,51,39,35,37,35,36,44,46,46,34,32,31,32,28,
j33,j32,62,66,58,64,62,62,58,54,55,56,55,63,59,60,49,43,40,48,47,
j32,j31,65,49,52,50,52,52,50,49,54,53,49,50,54,48,54,48,49,49,53,
j31,j30,61,50,55,50,48,48,30,40,35,35,32,32,31,29,31,31,32,30,51,
j30,j29A,62,66,64,66,60,60,51,41,28,22,21,18,18,16,19,17,17,31,70,
j29A,j29,62,65,63,68,64,64,65,64,62,59,46,40,31,25,51,44,43,55,59,
j29,j28,54,62,64,65,63,63,67,60,54,61,67,64,61,60,31,51,60,11,13,
j28,j27,55,64,63,66,66,66,66,66,66,68,64,61,61,65,59,66,68,65,56,
j27,j26,58,64,64,65,67,67,65,64,64,68,64,62,61,65,61,66,67,59,70,
j26,j25,60,64,65,63,64,64,66,62,64,64,65,63,62,62,62,63,65,65,69,
j25,j24A,63,66,64,63,66,66,67,63,66,62,66,62,66,62,66,64,66,66,70,
j24A,j24,64,62,65,64,63,63,63,64,63,63,60,48,65,41,53,63,64,63,67,
j24,j23,63,63,66,69,66,66,64,63,65,63,62,60,62,58,60,65,65,64,69,
j23,j22,63,67,68,67,70,70,65,66,67,65,69,67,66,64,67,65,69,68,70,
j22,j21A,65,66,67,61,68,68,64,66,63,61,65,65,61,62,64,66,65,69,70,
j21A,j21,70,62,61,61,62,62,59,56,60,55,57,55,52,51,51,52,54,56,61,
j21,j20,68,66,70,66,66,66,66,66,69,63,64,63,58,41,43,50,70,70,70,
j20,j19,67,67,70,68,65,65,67,68,70,65,63,61,52,64,63,68,64,65,68,
j19,j18,64,66,64,62,63,63,66,67,68,62,65,63,53,64,63,67,69,65,65,
j18,j17,49,70,64,64,66,66,68,66,70,61,69,65,62,68,67,70,70,69,69,
j17,j16,49,63,64,64,65,65,66,67,64,62,63,65,63,64,64,68,67,68,66,
j16,j15A,61,64,64,62,63,63,63,65,62,62,58,64,62,63,64,61,64,66,69,
j15A,j15,51,63,63,62,65,65,63,66,62,64,64,63,62,63,69,62,67,62,68,
j15,j14,50,64,64,66,61,61,65,66,62,65,63,64,64,66,67,66,67,66,68,
j14,j13,49,62,62,62,59,59,62,62,62,65,65,61,65,60,66,57,58,55,66,
j13,j12,61,48,53,51,48,48,48,50,51,47,53,52,51,52,52,48,47,47,52,
j12,j11A,69,50,52,47,48,48,51,46,50,37,50,47,50,52,52,48,48,47,53,
j11A,j11,66,53,52,47,52,52,50,46,51,50,42,46,52,49,53,46,47,46,49,
j11,j10,66,52,52,48,51,51,49,39,38,40,33,34,37,32,35,33,34,35,37,
j10,j9,65,59,60,58,57,57,42,30,20,21,16,18,16,17,19,16,16,18,33,
j9,j8,60,63,62,65,64,64,12,47,31,27,29,22,23,31,26,28,26,28,25,
j8,j7,61,59,59,65,55,55,56,47,53,57,56,46,46,48,52,52,52,53,52,
j7,j6,67,64,60,61,64,64,59,52,56,57,50,53,46,51,57,59,59,57,59,
j6,j5,67,65,63,68,65,65,70,65,65,66,70,68,65,64,68,64,64,66,65,
j5,j4,65,64,67,69,70,65,70,67,69,66,64,67,69,63,68,64,62,70,66,
j4,j3,50,68,67,67,70,70,70,69,67,68,68,70,70,68,70,65,66,70,67,
j3,j2,47,67,70,67,68,70,67,66,70,66,69,70,68,67,70,66,69,70,67,
j2,j1,53,63,68,62,63,63,65,68,57,66,67,63,68,70,66,66,70,70,70,
