,,08:45:00,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,
j48,j47,70,62,68,62,63,70,58,65,63,57,64,65,62,66,60,68,70,60,70,
j47,j46,70,65,66,68,65,66,63,66,64,65,61,59,65,64,60,70,70,65,70,
j46,j45,70,69,64,70,69,67,66,67,68,70,67,58,70,68,62,69,68,63,67,
j45,j43/44,70,69,63,70,67,70,63,60,69,69,66,59,69,68,66,67,62,60,50,
j43/44,j43,68,68,58,69,68,65,66,59,69,67,66,59,68,64,68,66,65,64,51,
j42,j42,60,59,57,62,60,60,63,55,61,62,55,55,61,62,56,55,49,41,38,
j42,j41,55,52,58,54,51,55,56,61,57,57,55,52,55,57,53,46,45,21,22,
j41,j40,60,62,60,59,62,62,62,36,60,64,49,35,42,41,31,31,30,15,27,
j40,j39,56,57,59,57,56,24,43,45,58,43,8,12,20,22,18,18,13,15,17,
j39,j38,52,52,52,51,49,37,15,53,52,45,22,34,36,37,37,38,18,40,34,
j38,j37,52,52,53,51,52,50,27,49,53,53,50,47,51,50,47,50,50,51,46,
j37,j36,49,49,53,53,53,51,47,51,53,53,49,51,52,47,49,50,50,46,47,
j36,j35A,48,49,51,51,51,52,49,62,51,51,49,49,48,47,52,48,51,46,47,
j35A,j35A,62,59,61,63,62,61,62,65,60,63,58,62,59,62,63,61,66,58,65,
j35,j34,66,62,59,64,63,62,61,65,65,66,59,62,63,64,62,63,66,64,66,
j34,j33,69,61,61,61,65,61,62,61,69,66,63,63,63,62,63,65,64,62,62,
j33,j32,66,61,65,63,66,61,66,59,62,65,62,69,62,62,63,65,62,66,60,
j32,j31,69,67,63,63,63,63,68,58,63,63,63,64,66,58,66,63,64,68,59,
j31,j30,67,70,70,64,64,67,68,58,68,66,62,61,69,62,63,63,59,69,62,
j30,j29A,68,69,68,61,66,64,63,61,63,65,61,61,67,62,65,63,58,67,62,
j29A,j29,64,70,65,65,70,68,63,68,67,70,62,61,69,63,63,70,65,69,67,
j29,j28,69,65,60,68,67,65,64,62,66,64,66,62,67,63,50,56,63,62,66,
j28,j27,58,61,61,62,58,59,61,67,61,58,60,63,52,52,44,44,67,35,48,
j27,j26,67,68,68,61,62,66,63,68,64,62,56,66,66,64,63,52,61,62,68,
j26,j25,65,70,63,59,60,69,63,65,62,70,59,66,70,67,70,49,41,63,68,
j25,j24A,67,68,64,64,65,68,62,60,60,66,61,62,67,66,68,52,56,46,65,
j24A,j24,62,68,63,63,60,64,64,58,58,65,58,64,63,64,61,59,40,32,57,
j24,j23,56,68,62,66,63,64,68,57,57,66,59,67,66,67,65,65,32,27,55,
j23,j22,51,66,63,66,63,67,65,62,61,64,61,64,64,67,64,64,55,56,57,
j22,j21A,64,65,65,65,62,65,64,63,67,64,60,65,65,69,67,66,57,62,65,
j21A,j21,67,67,67,61,66,63,69,62,66,63,58,65,64,66,64,63,59,61,62,
j21,j20,65,64,68,63,65,61,70,61,65,66,66,65,62,67,66,62,56,57,58,
j20,j19,67,66,67,68,64,60,67,67,65,59,61,63,67,65,70,64,66,64,59,
j19,j18,67,66,59,64,67,62,66,62,61,63,56,65,69,66,68,66,69,65,62,
j18,j17,62,61,59,63,56,60,59,51,58,62,52,57,62,60,60,62,63,52,57,
j17,j16,54,51,50,49,49,51,50,64,54,56,49,49,51,51,50,54,53,40,50,
j16,j15A,44,59,63,58,60,64,59,52,64,53,53,59,61,63,68,59,63,66,62,
j15A,j15,33,44,48,47,53,50,52,48,49,63,46,48,49,49,54,42,47,45,49,
j15,j14,49,48,48,48,53,48,48,47,48,53,47,48,48,48,51,51,53,48,49,
j14,j13,53,48,48,48,51,48,48,59,48,51,48,47,48,48,51,50,54,48,49,
j13,j12,60,54,58,57,56,63,56,64,59,49,56,52,59,47,61,60,47,57,59,
j12,j11A,64,62,67,65,59,70,64,69,66,61,59,60,66,59,67,68,64,66,68,
j11A,j11,64,68,63,64,66,70,65,69,67,70,58,66,68,70,65,66,67,67,66,
j11,j10,68,70,64,65,70,70,63,67,66,68,68,68,69,69,66,69,69,70,70,
j10,j9,70,70,70,64,67,70,64,68,68,70,69,65,70,69,70,70,64,70,70,
j9,j8,66,66,67,63,62,67,65,64,66,64,69,61,65,70,67,66,60,67,70,
j8,j7,57,58,57,56,57,60,56,58,60,60,59,52,66,66,66,67,61,64,70,
j7,j6,64,63,60,63,67,65,65,60,67,56,55,58,70,66,65,70,61,65,68,
j6,j5,50,65,64,67,65,62,66,62,65,64,61,57,66,63,64,68,65,60,59,
j5,j4,18,46,63,66,67,64,64,60,27,65,66,60,64,67,67,54,24,16,13,
j4,j3,31,37,48,49,48,45,47,48,11,66,51,49,47,67,48,33,27,29,27,
j3,j2,48,55,47,47,47,49,49,48,51,48,54,48,47,47,48,47,48,48,48,
j2,j1,56,57,52,52,55,54,57,55,56,58,60,57,54,47,60,55,58,56,59,
