,,08:45:00,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,
j48,j47,47,51,49,56,56,54,56,50,48,56,50,46,49,49,44,30,32,40,47,
j47,j46,39,48,49,64,54,54,54,49,48,54,48,54,48,47,53,38,37,38,44,
j46,j45,59,58,58,58,59,59,61,54,58,56,54,60,54,59,60,54,54,57,58,
j45,j43/44,63,65,62,63,59,66,65,60,63,60,60,61,62,62,65,60,57,46,66,
j43/44,j43,63,64,64,60,65,65,60,63,63,65,63,59,65,63,64,59,35,36,65,
j42,j42,64,66,66,56,64,59,62,62,64,63,59,67,65,62,65,61,40,45,65,
j42,j41,65,68,66,59,64,65,64,66,65,65,59,67,64,65,69,63,55,62,67,
j41,j40,64,65,64,59,62,63,64,64,61,65,59,64,63,61,67,62,56,59,68,
j40,j39,65,67,69,58,63,66,69,61,62,65,59,61,67,66,67,49,60,65,70,
j39,j38,65,69,69,65,61,67,63,65,66,67,68,61,65,65,67,59,62,61,69,
j38,j37,66,68,70,68,61,68,62,66,68,63,67,69,61,67,64,61,65,58,66,
j37,j36,59,63,66,65,61,61,61,66,66,67,64,59,61,61,62,59,59,57,65,
j36,j35A,40,51,56,51,54,52,49,49,49,52,50,49,51,56,49,50,48,49,56,
j35A,j35A,40,47,54,48,53,54,52,47,47,48,47,48,49,53,47,47,44,45,53,
j35,j34,48,52,51,51,54,54,52,49,50,49,48,47,49,50,48,50,20,19,21,
j34,j33,51,53,55,51,56,54,57,55,51,51,48,46,55,54,51,51,46,46,46,
j33,j32,49,49,50,49,55,50,55,50,49,53,50,53,49,48,47,51,55,50,50,
j32,j31,49,49,49,50,49,50,52,50,48,48,48,54,49,49,49,51,53,49,49,
j31,j30,60,62,68,65,63,61,61,63,63,63,58,64,63,63,65,65,63,65,59,
j30,j29A,65,64,65,65,64,61,66,64,64,63,55,64,63,63,63,64,63,66,59,
j29A,j29,63,63,64,65,68,63,62,64,66,60,58,63,61,65,66,58,62,66,59,
j29,j28,60,65,62,64,68,63,60,67,66,63,61,62,63,62,68,64,64,69,63,
j28,j27,60,63,66,64,67,70,64,65,67,65,61,64,68,67,67,66,70,70,66,
j27,j26,29,42,63,66,66,69,63,64,67,62,61,61,65,64,64,69,69,66,64,
j26,j25,63,62,62,65,66,65,63,63,63,62,60,58,67,64,62,66,63,64,48,
j25,j24A,65,61,62,66,63,67,62,63,62,60,56,55,67,65,65,64,64,62,57,
j24A,j24,61,58,62,63,63,65,61,60,59,63,57,57,62,64,66,61,58,65,56,
j24,j23,66,62,63,63,67,62,62,61,63,68,62,60,47,66,66,65,63,66,62,
j23,j22,62,67,63,68,66,57,61,60,64,64,63,59,66,61,60,64,63,61,64,
j22,j21A,67,67,63,64,65,65,68,68,70,62,65,62,68,65,66,66,65,55,68,
j21A,j21,51,63,57,61,60,63,62,63,64,61,57,63,61,59,61,54,43,30,32,
j21,j20,66,69,64,65,64,68,55,60,64,67,60,68,61,68,63,66,60,52,68,
j20,j19,58,65,63,65,70,67,62,60,66,66,66,64,62,69,65,62,67,69,66,
j19,j18,59,64,64,60,69,64,59,60,68,63,60,63,63,66,64,60,63,65,65,
j18,j17,60,64,63,60,67,63,60,63,65,65,65,60,68,67,65,65,65,65,65,
j17,j16,66,64,63,60,62,63,63,63,64,67,70,65,68,66,63,65,66,67,62,
j16,j15A,65,65,63,60,59,59,63,60,58,65,61,62,67,63,64,62,63,64,60,
j15A,j15,59,64,61,58,57,63,61,60,58,67,56,62,66,61,62,57,64,63,61,
j15,j14,62,63,61,61,63,66,61,62,64,69,59,65,67,60,64,63,63,64,63,
j14,j13,58,63,53,62,59,62,58,59,59,64,58,64,58,53,55,55,58,57,57,
j13,j12,52,48,51,53,51,50,53,52,53,53,52,53,49,51,51,50,49,41,34,
j12,j11A,21,33,41,49,52,47,52,48,51,51,51,52,47,52,52,31,24,16,37,
j11A,j11,25,23,21,37,52,47,50,48,50,52,52,52,51,51,49,30,23,44,25,
j11,j10,45,41,40,41,51,51,50,50,51,50,51,52,49,51,45,44,42,44,42,
j10,j9,60,63,62,58,58,63,62,61,61,50,58,59,63,61,54,61,58,60,62,
j9,j8,59,61,61,58,59,60,59,61,61,62,57,58,64,62,57,63,61,58,60,
j8,j7,55,57,57,52,54,53,56,56,59,64,54,54,52,49,49,55,57,57,58,
j7,j6,57,62,61,58,58,61,57,58,61,56,58,61,62,61,52,65,60,62,61,
j6,j5,70,70,70,69,70,70,66,67,70,62,70,61,70,70,70,70,70,63,70,
j5,j4,65,63,61,65,68,67,61,67,70,70,66,70,67,69,70,69,65,64,65,
j4,j3,67,63,62,66,69,64,66,70,67,70,68,61,70,60,68,66,59,65,70,
j3,j2,70,63,65,68,60,64,67,70,67,67,69,63,69,69,69,70,70,68,70,
j2,j1,60,54,59,58,50,53,63,56,63,59,63,65,62,61,65,61,60,59,68,
